player,current_mmr,matches_played,wins,losses,draws,goals,assists,saves,win_rate,goals_per_match,assists_per_match,saves_per_match
Player_002,1840,382,168,187,26,59,106,755,0.4397905759162304,0.1544502617801047,0.2774869109947644,1.9764397905759161
Player_004,1557,61,34,24,3,52,15,80,0.5573770491803278,0.8524590163934426,0.2459016393442623,1.3114754098360655
Player_005,893,23,10,9,4,7,6,0,0.43478260869565216,0.30434782608695654,0.2608695652173913,0.0
Player_006,635,1,1,0,0,0,0,6,1.0,0.0,0.0,6.0
Player_009,600,8,7,1,0,10,7,2,0.875,1.25,0.875,0.25
Player_010,620,2,2,0,0,0,4,0,1.0,0.0,2.0,0.0
Player_011,628,3,2,1,0,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333
Player_012,1796,581,248,297,36,247,266,163,0.4268502581755594,0.42512908777969016,0.4578313253012048,0.28055077452667815
Player_015,677,4,3,1,0,0,0,0,0.75,0.0,0.0,0.0
Player_016,750,14,5,7,2,1,1,48,0.35714285714285715,0.07142857142857142,0.07142857142857142,3.4285714285714284
Player_017,980,6,2,3,1,2,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Player_018,1077,2,2,0,0,0,0,0,1.0,0.0,0.0,0.0
Player_019,1845,469,200,230,39,126,69,890,0.42643923240938164,0.26865671641791045,0.14712153518123666,1.8976545842217485
Player_020,1507,54,26,28,0,25,20,17,0.48148148148148145,0.46296296296296297,0.37037037037037035,0.3148148148148148
Player_021,896,29,11,17,1,10,7,0,0.3793103448275862,0.3448275862068966,0.2413793103448276,0.0
Player_023,2167,1279,582,610,86,784,573,532,0.4550430023455825,0.6129788897576232,0.4480062548866302,0.41594996090695857
Player_025,2080,855,371,419,64,561,277,634,0.43391812865497076,0.656140350877193,0.32397660818713453,0.7415204678362574
Player_026,1860,354,157,184,13,99,51,559,0.4435028248587571,0.2796610169491525,0.1440677966101695,1.57909604519774
Player_027,1676,171,91,75,5,116,87,30,0.5321637426900585,0.6783625730994152,0.5087719298245614,0.17543859649122806
Player_030,2115,842,369,415,58,400,251,913,0.43824228028503565,0.4750593824228028,0.2980997624703088,1.0843230403800475
Player_031,1000,12,5,7,0,3,8,0,0.4166666666666667,0.25,0.6666666666666666,0.0
Player_036,1874,750,308,398,44,41,102,2322,0.4106666666666667,0.05466666666666667,0.136,3.096
Player_037,1110,3,3,0,0,1,1,0,1.0,0.3333333333333333,0.3333333333333333,0.0
Player_038,950,5,1,4,0,0,0,17,0.2,0.0,0.0,3.4
Player_041,600,7,4,3,0,0,1,21,0.5714285714285714,0.0,0.14285714285714285,3.0
Player_042,2052,362,172,149,41,477,164,31,0.47513812154696133,1.3176795580110496,0.4530386740331492,0.0856353591160221
Player_044,2219,2012,982,957,72,1772,900,2166,0.48807157057654077,0.8807157057654076,0.44731610337972166,1.0765407554671969
Player_045,1220,14,9,5,0,6,4,35,0.6428571428571429,0.42857142857142855,0.2857142857142857,2.5
Player_046,989,1,0,1,0,0,2,0,0.0,0.0,2.0,0.0
Player_047,900,8,2,5,1,0,1,21,0.25,0.0,0.125,2.625
Player_048,980,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0
Player_052,1604,701,272,367,62,709,173,155,0.3880171184022825,1.0114122681883024,0.24679029957203993,0.2211126961483595
Player_054,2176,1059,530,454,72,396,491,157,0.5004721435316336,0.37393767705382436,0.4636449480642115,0.14825306893295562
Player_055,1390,16,11,5,0,1,3,1,0.6875,0.0625,0.1875,0.0625
Player_056,1648,633,248,328,56,84,84,1085,0.39178515007898895,0.13270142180094788,0.13270142180094788,1.7140600315955765
Player_057,1047,3,2,1,0,0,0,8,0.6666666666666666,0.0,0.0,2.6666666666666665
Player_058,1570,174,72,97,5,94,53,117,0.41379310344827586,0.5402298850574713,0.3045977011494253,0.6724137931034483
Player_059,2082,344,172,172,0,150,104,468,0.5,0.436046511627907,0.3023255813953488,1.3604651162790697
Player_060,750,5,3,2,0,0,0,5,0.6,0.0,0.0,1.0
Player_061,2158,1435,665,632,137,295,473,4182,0.4634146341463415,0.20557491289198607,0.329616724738676,2.914285714285714
Player_064,1569,157,65,72,20,68,53,21,0.4140127388535032,0.43312101910828027,0.3375796178343949,0.1337579617834395
Player_067,1795,474,210,235,29,314,143,402,0.4430379746835443,0.6624472573839663,0.30168776371308015,0.8481012658227848
Player_069,600,82,40,30,12,109,32,14,0.4878048780487805,1.329268292682927,0.3902439024390244,0.17073170731707318
Player_070,913,7,5,2,0,5,2,0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.0
Player_071,1682,65,39,26,0,79,30,1,0.6,1.2153846153846153,0.46153846153846156,0.015384615384615385
Player_073,1815,433,188,219,24,75,67,775,0.4341801385681293,0.17321016166281755,0.15473441108545036,1.789838337182448
Player_074,2110,1129,536,496,97,899,499,287,0.47475642161204606,0.7962798937112489,0.4419840566873339,0.254207263064659
Player_076,1838,950,385,499,62,338,146,2366,0.4052631578947368,0.35578947368421054,0.15368421052631578,2.4905263157894737
Player_077,767,33,12,18,3,0,1,1,0.36363636363636365,0.0,0.030303030303030304,0.030303030303030304
Player_080,2099,1072,525,463,82,446,527,398,0.48973880597014924,0.416044776119403,0.4916044776119403,0.3712686567164179
Player_082,600,8,4,4,0,0,0,0,0.5,0.0,0.0,0.0
Player_083,1478,214,86,116,11,13,15,344,0.40186915887850466,0.06074766355140187,0.07009345794392523,1.6074766355140186
Player_084,600,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0
Player_085,1768,448,204,219,25,98,111,729,0.45535714285714285,0.21875,0.24776785714285715,1.6272321428571428
Player_087,1441,31,16,15,0,14,8,0,0.5161290322580645,0.45161290322580644,0.25806451612903225,0.0
Player_088,2218,1728,844,742,139,232,830,733,0.48842592592592593,0.13425925925925927,0.48032407407407407,0.4241898148148148
Player_089,1974,1114,542,496,75,930,627,48,0.4865350089766607,0.8348294434470377,0.5628366247755835,0.04308797127468582
Player_090,1866,272,135,128,9,155,63,330,0.4963235294117647,0.5698529411764706,0.23161764705882354,1.213235294117647
Player_091,1645,117,50,63,4,62,40,55,0.42735042735042733,0.5299145299145299,0.3418803418803419,0.4700854700854701
Player_093,750,6,5,1,0,0,2,11,0.8333333333333334,0.0,0.3333333333333333,1.8333333333333333
Player_096,900,4,1,3,0,0,0,5,0.25,0.0,0.0,1.25
Player_097,1751,294,138,142,13,132,93,350,0.46938775510204084,0.4489795918367347,0.3163265306122449,1.1904761904761905
Player_099,600,9,3,4,2,5,5,0,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0
Player_101,993,1,0,1,0,1,0,1,0.0,1.0,0.0,1.0
Player_102,963,8,1,7,0,5,0,0,0.125,0.625,0.0,0.0
Player_104,1088,12,11,1,0,5,7,0,0.9166666666666666,0.4166666666666667,0.5833333333333334,0.0
Player_105,900,211,89,85,37,156,83,120,0.4218009478672986,0.7393364928909952,0.3933649289099526,0.5687203791469194
Player_107,600,11,8,1,2,22,0,6,0.7272727272727273,2.0,0.0,0.5454545454545454
Player_113,1521,104,48,56,0,47,35,34,0.46153846153846156,0.4519230769230769,0.33653846153846156,0.3269230769230769
Player_116,1907,455,212,210,33,401,197,46,0.46593406593406594,0.8813186813186813,0.432967032967033,0.1010989010989011
Player_117,900,7,2,4,1,5,4,0,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.0
Player_118,1130,9,5,3,1,8,4,0,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.0
Player_120,1949,207,108,82,15,69,76,6,0.5217391304347826,0.3333333333333333,0.3671497584541063,0.028985507246376812
Player_122,1974,994,420,483,86,155,162,1507,0.4225352112676056,0.15593561368209255,0.16297786720321933,1.5160965794768613
Player_123,1598,493,208,235,50,115,108,1287,0.42190669371196754,0.2332657200811359,0.21906693711967545,2.610547667342799
Player_124,1623,140,62,74,0,105,43,20,0.44285714285714284,0.75,0.30714285714285716,0.14285714285714285
Player_126,1041,19,10,6,3,29,5,0,0.5263157894736842,1.5263157894736843,0.2631578947368421,0.0
Player_128,916,20,11,9,0,3,4,7,0.55,0.15,0.2,0.35
Player_133,1704,680,250,359,70,182,204,252,0.36764705882352944,0.2676470588235294,0.3,0.37058823529411766
Player_136,978,10,2,8,0,5,1,0,0.2,0.5,0.1,0.0
Player_138,2056,758,347,376,35,638,221,760,0.4577836411609499,0.841688654353562,0.29155672823219,1.0026385224274406
Player_140,1856,82,45,33,4,5,14,153,0.5487804878048781,0.06097560975609756,0.17073170731707318,1.8658536585365855
Player_141,1717,37,25,12,0,31,8,0,0.6756756756756757,0.8378378378378378,0.21621621621621623,0.0
Player_143,716,5,2,3,0,0,0,8,0.4,0.0,0.0,1.6
Player_145,1462,35,20,15,0,0,4,89,0.5714285714285714,0.0,0.11428571428571428,2.5428571428571427
Player_147,800,36,13,18,5,15,9,56,0.3611111111111111,0.4166666666666667,0.25,1.5555555555555556
Player_150,2320,1186,683,415,88,662,826,335,0.575885328836425,0.5581787521079258,0.6964586846543002,0.2824620573355818
Player_152,600,1,1,2,0,0,1,0,1.0,0.0,1.0,0.0
Player_153,2002,460,199,210,49,297,186,0,0.4326086956521739,0.6456521739130435,0.4043478260869565,0.0
Player_154,2635,678,398,265,13,602,500,3,0.5870206489675516,0.887905604719764,0.7374631268436578,0.004424778761061947
Player_155,625,6,5,1,0,1,0,0,0.8333333333333334,0.16666666666666666,0.0,0.0
Player_156,750,4,3,1,0,3,3,0,0.75,0.75,0.75,0.0
Player_157,1228,75,37,31,7,30,9,77,0.49333333333333335,0.4,0.12,1.0266666666666666
Player_159,1995,841,374,414,50,50,126,3084,0.4447086801426873,0.059453032104637336,0.14982164090368608,3.667063020214031
Player_160,1000,8,3,4,1,0,1,14,0.375,0.0,0.125,1.75
Player_164,1420,68,31,37,0,20,6,0,0.45588235294117646,0.29411764705882354,0.08823529411764706,0.0
Player_165,2272,1220,638,502,80,1420,605,72,0.5229508196721312,1.1639344262295082,0.4959016393442623,0.05901639344262295
Player_167,600,24,9,11,4,6,1,19,0.375,0.25,0.041666666666666664,0.7916666666666666
Player_168,750,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0
Player_169,1846,573,253,269,50,404,142,637,0.44153577661431065,0.7050610820244329,0.24781849912739964,1.111692844677138
Player_171,1912,578,263,277,38,532,245,36,0.45501730103806226,0.9204152249134948,0.42387543252595156,0.06228373702422145
Player_173,1108,6,3,3,0,4,1,0,0.5,0.6666666666666666,0.16666666666666666,0.0
Player_174,2142,1183,566,555,60,430,407,2058,0.47844463229078615,0.36348267117497884,0.3440405748098056,1.7396449704142012
Player_175,600,7,3,4,0,0,5,5,0.42857142857142855,0.0,0.7142857142857143,0.7142857142857143
Player_176,1830,622,305,271,44,240,393,38,0.4903536977491961,0.3858520900321543,0.6318327974276527,0.06109324758842444
Player_177,2158,1389,649,680,60,1546,656,35,0.46724262059035276,1.113030957523398,0.4722822174226062,0.0251979841612671
Player_179,995,1,0,1,0,0,0,1,0.0,0.0,0.0,1.0
