,current_mmr,peak_mmr,matches_played,wins,losses,draws,goals,assists,passes,saves,win_rate,goals_per_match,assists_per_match,passes_per_match,saves_per_match,winstreak,lossstreak
current_mmr,1.0,0.832065724066122,0.6453077636084076,0.6377583203093878,0.6618461365985955,0.4087796199802588,0.5308825343580929,0.6236139509301052,0.6060892265165626,0.4972080435183851,-0.13780629895198196,0.19150918020921903,0.13746209580890165,0.29181247691192863,0.20134944564645751,-0.056118208279466654,0.08943357902161839
peak_mmr,0.832065724066122,1.0,0.7611847779869493,0.7547919270015017,0.7601530265231832,0.5990504818135366,0.6402811134030986,0.704988647939504,0.7139433934467551,0.5949808477172268,-0.17343573478570112,0.3757969623096246,0.11503142128371178,0.3339375171714202,0.1762281096273591,-0.056239631403847405,0.09173020675955008
matches_played,0.6453077636084076,0.7611847779869493,1.0,0.9913991551608835,0.9883802672755322,0.8553576654962134,0.8537317510300205,0.9541133119354962,0.9785006158293135,0.7992456101855455,-0.16175857134946325,0.33378093678045456,0.10419113984754586,0.3295270128476927,0.05638577550806206,0.03522779778591139,-0.002469109266887113
wins,0.6377583203093878,0.7547919270015017,0.9913991551608835,1.0,0.9628891691278537,0.8418524209837406,0.8918303047651682,0.9598360141378129,0.9752992281740424,0.7659685790104108,-0.12420797376283357,0.37000947427472747,0.11642582898000603,0.33234263247711715,0.034298222843194795,0.05899329464969474,-0.035709381826830845
losses,0.6618461365985955,0.7601530265231832,0.9883802672755322,0.9628891691278537,1.0,0.8107297928257452,0.7971528742049151,0.932935308288295,0.9647093518801942,0.8218728328081327,-0.19488289770010167,0.29469610204880925,0.09720890301039316,0.335582524117137,0.083635882762583,0.001703329947520394,0.03218893085690546
draws,0.4087796199802588,0.5990504818135366,0.8553576654962134,0.8418524209837406,0.8107297928257452,1.0,0.7242582670192489,0.7867972058003536,0.8171426877934047,0.6557716209149591,-0.15698679878818275,0.24811200326916402,0.03707316172386608,0.17876395363878145,0.013725515428235614,0.08178604712608836,-0.0008402266477037557
goals,0.5308825343580929,0.6402811134030986,0.8537317510300205,0.8918303047651682,0.7971528742049151,0.7242582670192489,1.0,0.7890309814308717,0.7993605850576786,0.4929742501033674,-0.0707741285828511,0.5533883207012783,0.09326824518213467,0.23162803805288254,-0.11556245004479479,0.05669143615397026,-0.08077276162182834
assists,0.6236139509301052,0.704988647939504,0.9541133119354962,0.9598360141378129,0.932935308288295,0.7867972058003536,0.7890309814308717,1.0,0.9827819333483779,0.7500604567768496,-0.11874463859086296,0.3132772853563309,0.1708243120616272,0.38755326147409863,0.022991766718396176,0.040503675118590085,-0.0429340535107958
passes,0.6060892265165626,0.7139433934467551,0.9785006158293135,0.9752992281740424,0.9647093518801942,0.8171426877934047,0.7993605850576786,0.9827819333483779,1.0,0.8293235560337346,-0.13788646296595444,0.29319596086822713,0.13514005150117306,0.39879492744029665,0.08697454894358884,0.048230405437319546,-0.024056182113529147
saves,0.4972080435183851,0.5949808477172268,0.7992456101855455,0.7659685790104108,0.8218728328081327,0.6557716209149591,0.4929742501033674,0.7500604567768496,0.8293235560337346,1.0,-0.16725053618886104,0.016720304236082346,0.054034734957785956,0.37271074904407453,0.3911933708901467,0.03205922250713829,0.08213051914117375
win_rate,-0.13780629895198196,-0.17343573478570112,-0.16175857134946325,-0.12420797376283357,-0.19488289770010167,-0.15698679878818275,-0.0707741285828511,-0.11874463859086296,-0.13788646296595444,-0.16725053618886104,1.0,0.07771626223886813,0.22176828378450178,0.16233113477004912,0.013791402623822712,0.3844517334813559,-0.3181852737135538
goals_per_match,0.19150918020921903,0.3757969623096246,0.33378093678045456,0.37000947427472747,0.29469610204880925,0.24811200326916402,0.5533883207012783,0.3132772853563309,0.29319596086822713,0.016720304236082346,0.07771626223886813,1.0,0.05480438304950739,-0.005845600356976376,-0.4131490295986671,-0.1032219994404568,-0.10465300591271871
assists_per_match,0.13746209580890165,0.11503142128371178,0.10419113984754586,0.11642582898000603,0.09720890301039316,0.03707316172386608,0.09326824518213467,0.1708243120616272,0.13514005150117306,0.054034734957785956,0.22176828378450178,0.05480438304950739,1.0,0.3008129356329814,-0.10768087209145831,0.07568287623006777,-0.12327389899089324
passes_per_match,0.29181247691192863,0.3339375171714202,0.3295270128476927,0.33234263247711715,0.335582524117137,0.17876395363878145,0.23162803805288254,0.38755326147409863,0.39879492744029665,0.37271074904407453,0.16233113477004912,-0.005845600356976376,0.3008129356329814,1.0,0.4228971619735617,0.030301137472550692,-0.040841760323030066
saves_per_match,0.20134944564645751,0.1762281096273591,0.05638577550806206,0.034298222843194795,0.083635882762583,0.013725515428235614,-0.11556245004479479,0.022991766718396176,0.08697454894358884,0.3911933708901467,0.013791402623822712,-0.4131490295986671,-0.10768087209145831,0.4228971619735617,1.0,0.07042712497445919,0.14105381457972638
winstreak,-0.056118208279466654,-0.056239631403847405,0.03522779778591139,0.05899329464969474,0.001703329947520394,0.08178604712608836,0.05669143615397026,0.040503675118590085,0.048230405437319546,0.03205922250713829,0.3844517334813559,-0.1032219994404568,0.07568287623006777,0.030301137472550692,0.07042712497445919,1.0,-0.459124501757889
lossstreak,0.08943357902161839,0.09173020675955008,-0.002469109266887113,-0.035709381826830845,0.03218893085690546,-0.0008402266477037557,-0.08077276162182834,-0.0429340535107958,-0.024056182113529147,0.08213051914117375,-0.3181852737135538,-0.10465300591271871,-0.12327389899089324,-0.040841760323030066,0.14105381457972638,-0.459124501757889,1.0
