,dataset,feature,pearson_corr_with_mmr
0,Community A,matches_played,0.7842781139775677
1,Community A,wins,0.7827437313516759
2,Community A,losses,0.7796169210543299
3,Community A,assists,0.7110736130159447
4,Community A,draws,0.7093349503790463
5,Community A,goals,0.6288742259815444
6,Community A,saves,0.4620496248154365
7,Community A,goals_per_match,0.2600141621324441
8,Community A,win_rate,-0.12669161446680793
9,Community A,assists_per_match,0.1033980227778446
10,Community A,saves_per_match,0.03009173767470022
11,Community B,peak_mmr,0.832065724066122
12,Community B,losses,0.6618461365985955
13,Community B,matches_played,0.6453077636084076
14,Community B,wins,0.6377583203093878
15,Community B,assists,0.6236139509301052
16,Community B,passes,0.6060892265165626
17,Community B,goals,0.5308825343580929
18,Community B,saves,0.4972080435183851
19,Community B,draws,0.4087796199802588
20,Community B,passes_per_match,0.29181247691192863
21,Community B,saves_per_match,0.20134944564645751
22,Community B,goals_per_match,0.19150918020921903
23,Community B,win_rate,-0.13780629895198196
24,Community B,assists_per_match,0.13746209580890165
25,Community B,lossstreak,0.08943357902161839
26,Community B,winstreak,-0.056118208279466654
