day_bin,mmr
0,1246.2894056847545
1,1432.7660098522167
2,1441.4370860927152
3,1568.2303921568628
4,1651.1901408450703
5,1601.3988764044943
6,1625.5288461538462
7,1590.3980582524273
8,1560.3961538461538
9,1478.0444444444445
10,1427.7394366197184
11,1620.8432835820895
12,1497.5625
13,1552.078431372549
14,1684.7719298245613
15,1471.164383561644
16,1527.551724137931
17,1658.7761194029852
18,1617.200819672131
19,1607.74
20,1684.5815217391305
21,1506.2697368421052
22,1531.506993006993
23,1427.357142857143
24,1521.0384615384614
25,1479.96875
26,1449.613924050633
27,1583.0827338129495
28,1562.4066265060242
29,1597.7067307692307
30,1730.4013157894738
31,1497.073076923077
32,1653.4084507042253
33,1516.5
34,1408.7727272727273
35,1383.875
36,1424.9857142857143
37,1378.4711111111112
38,1397.5884384384385
39,1483.31061827957
40,1497.2526205450733
41,1511.0158045977012
42,1526.3743243243243
43,1567.7229965156794
44,1564.5961038961038
45,1567.8023255813953
46,1553.4259259259259
47,1539.904761904762
48,1495.2583333333334
49,1581.4460784313726
50,1679.375
51,1562.4246575342465
52,1565.6983388704318
53,1597.4204119850187
54,1587.2963983050847
55,1518.5334024896265
56,1569.148780487805
57,1571.4333333333334
58,1566.9606741573034
59,1584.566129032258
60,1601.649
61,1582.844
62,1560.1552631578948
63,1596.4921875
64,1576.80078125
65,1616.5542635658915
66,1636.0403225806451
67,1640.2924528301887
68,1621.825327510917
69,1729.6666666666667
70,1668.1172839506173
71,1592.04296875
72,1682.4521739130435
73,1631.5665322580646
74,1684.5972222222222
75,1695.1340996168583
76,1653.9116379310344
77,1746.1532663316582
78,1774.032786885246
79,1719.3375
80,1672.0516129032258
81,1777.6159420289855
82,1698.3653846153845
83,1784.6724137931035
84,1810.9469696969697
85,1768.701388888889
86,1752.2857142857142
87,1702.0717488789237
88,1607.0458015267175
89,1730.7164948453608
90,1761.2777777777778
91,1573.875
95,1930.2857142857142
97,1957.16
98,1975.396551724138
101,1963.3333333333333
