,dataset,count,mean,std,min,25%,50%,75%,max
current_mmr,Community A,107.0,1387.6355140186915,560.1612872945253,600.0,900.0,1462.0,1858.0,2635.0
matches_played,Community A,107.0,323.3644859813084,449.41398724828656,1.0,7.5,65.0,533.0,2012.0
wins,Community A,107.0,150.54205607476635,214.71091931939083,0.0,3.0,34.0,230.0,982.0
losses,Community A,107.0,150.71028037383178,206.991751241435,0.0,3.0,28.0,250.0,957.0
draws,Community A,107.0,21.69158878504673,31.77408794022388,0.0,0.0,3.0,38.5,139.0
goals,Community A,107.0,175.2429906542056,321.52871408853116,0.0,1.0,29.0,169.0,1772.0
assists,Community A,107.0,120.57943925233644,204.2569154222099,0.0,1.0,14.0,142.5,900.0
saves,Community A,107.0,308.94392523364485,679.7487720124044,0.0,0.0,21.0,308.5,4182.0
win_rate,Community A,107.0,0.4908078005391804,0.20718755775908412,0.0,0.4139029211508895,0.4634146341463415,0.5527777777777778,1.0
goals_per_match,Community A,107.0,0.4319532975380544,0.4029878246294999,0.0,0.06086163665374965,0.3739376770538243,0.672514619883041,2.0
assists_per_match,Community A,107.0,0.31160449706889226,0.31737659990590666,0.0,0.125,0.2774869109947644,0.4374755448271834,2.0
saves_per_match,Community A,107.0,0.845972078968033,1.0924085568701611,0.0,0.0,0.3333333333333333,1.4382808478779654,6.0
current_mmr,Community B,97.0,1329.639175257732,302.65479632905107,992.5,1035.0,1231.5,1588.5,1979.5
peak_mmr,Community B,97.0,1412.8144329896907,325.4191473410647,997.0,1073.0,1447.0,1698.0,2042.5
matches_played,Community B,97.0,140.8556701030928,216.8460470438802,1.0,5.0,27.0,206.0,1134.0
wins,Community B,97.0,66.30927835051547,105.23311036542695,0.0,4.0,20.0,90.0,554.0
losses,Community B,97.0,66.47422680412372,100.51078847395615,0.0,2.0,10.0,105.0,504.0
draws,Community B,97.0,8.072164948453608,15.403089126508853,0.0,0.0,1.0,9.0,76.0
goals,Community B,97.0,105.04123711340206,218.26875241725955,0.0,1.0,7.0,113.0,1150.0
assists,Community B,97.0,48.329896907216494,85.2817293896975,0.0,1.0,9.0,50.0,462.0
passes,Community B,97.0,552.4742268041238,945.3463000049186,0.0,12.0,66.0,694.0,4815.0
saves,Community B,97.0,105.41237113402062,198.79411211609735,0.0,1.0,19.0,75.0,947.0
win_rate,Community B,97.0,0.5278319404602801,0.2315662450523759,0.0,0.4,0.4935064935064935,0.6666666666666666,1.0
goals_per_match,Community B,97.0,0.486429800204656,0.5098891892612576,0.0,0.025,0.3695652173913043,0.8008474576271186,2.006423982869379
assists_per_match,Community B,97.0,0.2996921683897434,0.273542705216436,0.0,0.1291666666666666,0.2857142857142857,0.3932038834951456,2.0
passes_per_match,Community B,97.0,3.292388690250198,1.2545624570675624,0.0,2.607142857142857,3.5,4.096153846153846,6.0
saves_per_match,Community B,97.0,0.6835191220579185,0.7548832144255279,0.0,0.08,0.4,1.0,3.0
winstreak,Community B,97.0,0.979381443298969,1.2745863826102157,0.0,0.0,1.0,1.0,7.0
lossstreak,Community B,97.0,1.0206185567010309,1.7259018261193368,0.0,0.0,0.0,1.0,9.0
